season,season_label,club,rank_in_season,players_signed,total_mv_eur,avg_player_mv_eur,median_player_mv_eur,max_player_mv_eur
2015,2015/16,1.FC Köln,11,6,16250000,2708333,2250000,4500000
2015,2015/16,1.FSV Mainz 05,10,11,19600000,1781818,1500000,5000000
2015,2015/16,Bayer 04 Leverkusen,2,7,50500000,7214286,7500000,10000000
2015,2015/16,Bayern Munich,1,5,77000000,15400000,5000000,42000000
2015,2015/16,Borussia Dortmund,6,5,32500000,6500000,6000000,14000000
2015,2015/16,Borussia Mönchengladbach,5,7,36500000,5214286,4000000,10000000
2015,2015/16,Eintracht Frankfurt,13,6,15250000,2541667,1875000,5000000
2015,2015/16,FC Augsburg,14,6,13900000,2316667,2250000,4500000
2015,2015/16,FC Ingolstadt 04,18,5,6350000,1270000,1100000,2300000
2015,2015/16,FC Schalke 04,3,7,47100000,6728571,6500000,14000000
2015,2015/16,Hamburger SV,9,9,20000000,2222222,2000000,4500000
2015,2015/16,Hannover 96,12,7,15900000,2271429,2000000,4000000
2015,2015/16,Hertha BSC,15,4,11500000,2875000,2000000,5500000
2015,2015/16,SV Darmstadt 98,17,11,9900000,900000,900000,1750000
2015,2015/16,SV Werder Bremen,16,5,10650000,2130000,1500000,4500000
2015,2015/16,TSG 1899 Hoffenheim,7,12,30450000,2537500,1875000,8000000
2015,2015/16,VfB Stuttgart,8,9,21850000,2427778,2500000,5000000
2015,2015/16,VfL Wolfsburg,4,6,42150000,7025000,3450000,22000000
2016,2016/17,1.FC Köln,18,4,8500000,2125000,1750000,4000000
2016,2016/17,1.FSV Mainz 05,12,8,19100000,2387500,2500000,3500000
2016,2016/17,Bayer 04 Leverkusen,5,6,41750000,6958333,3750000,17000000
2016,2016/17,Bayern Munich,4,2,58000000,29000000,29000000,38000000
2016,2016/17,Borussia Dortmund,1,8,100000000,12500000,8500000,35000000
2016,2016/17,Borussia Mönchengladbach,10,5,21500000,4300000,2000000,12000000
2016,2016/17,Eintracht Frankfurt,13,9,18300000,2033333,1500000,4000000
2016,2016/17,FC Augsburg,11,8,19250000,2406250,1875000,6000000
2016,2016/17,FC Ingolstadt 04,15,10,10150000,1015000,800000,3000000
2016,2016/17,FC Schalke 04,2,8,82300000,10287500,8000000,25000000
2016,2016/17,Hamburger SV,6,8,31600000,3950000,2000000,10000000
2016,2016/17,Hertha BSC,17,4,9000000,2250000,2500000,3200000
