Season,ClubTM,MarketValueEUR
2014/15,Bayern Munich,566000000.0
2014/15,Borussia Dortmund,294600000.0
2014/15,VfL Wolfsburg,143480000.0
2014/15,FC Schalke 04,203800000.0
2014/15,Bayer 04 Leverkusen,162550000.0
2014/15,Borussia Mönchengladbach,117280000.0
2014/15,TSG 1899 Hoffenheim,103980000.0
2014/15,1.FSV Mainz 05,49400000.0
2014/15,Hamburger SV,76400000.0
2014/15,VfB Stuttgart,91950000.0
2014/15,Hannover 96,61600000.0
2014/15,Eintracht Frankfurt,59450000.0
2014/15,SV Werder Bremen,52200000.0
2014/15,Hertha BSC,63580000.0
2014/15,SC Freiburg,62600000.0
2014/15,1.FC Köln,44650000.0
2014/15,FC Augsburg,40800000.0
2014/15,SC Paderborn 07,20950000.0
2015/16,Bayern Munich,568000000.0
2015/16,Borussia Dortmund,302000000.0
2015/16,VfL Wolfsburg,238400000.0
2015/16,Bayer 04 Leverkusen,180150000.0
2015/16,FC Schalke 04,192900000.0
2015/16,Borussia Mönchengladbach,141400000.0
2015/16,TSG 1899 Hoffenheim,93300000.0
2015/16,1.FSV Mainz 05,58930000.0
2015/16,VfB Stuttgart,75050000.0
2015/16,Hertha BSC,63700000.0
2015/16,Eintracht Frankfurt,66300000.0
2015/16,FC Augsburg,52350000.0
2015/16,1.FC Köln,53800000.0
2015/16,SV Werder Bremen,53600000.0
2015/16,Hamburger SV,54500000.0
2015/16,Hannover 96,60050000.0
2015/16,FC Ingolstadt 04,27450000.0
2015/16,SV Darmstadt 98,16850000.0
2016/17,Bayern Munich,582150000.0
2016/17,Borussia Dortmund,339400000.0
2016/17,Bayer 04 Leverkusen,250800000.0
2016/17,FC Schalke 04,173400000.0
2016/17,VfL Wolfsburg,180150000.0
2016/17,RB Leipzig,62380000.0
2016/17,Borussia Mönchengladbach,165600000.0
2016/17,TSG 1899 Hoffenheim,90180000.0
2016/17,1.FC Köln,73850000.0
2016/17,1.FSV Mainz 05,77450000.0
2016/17,Hertha BSC,76480000.0
2016/17,SV Werder Bremen,63600000.0
2016/17,SC Freiburg,44600000.0
2016/17,Hamburger SV,75400000.0
2016/17,Eintracht Frankfurt,60250000.0
2016/17,FC Augsburg,58500000.0
2016/17,FC Ingolstadt 04,37000000.0
2016/17,SV Darmstadt 98,21750000.0
2017/18,Bayern Munich,603400000.0
2017/18,Borussia Dortmund,406480000.0
2017/18,RB Leipzig,181080000.0
2017/18,Bayer 04 Leverkusen,211300000.0
2017/18,FC Schalke 04,185550000.0
2017/18,TSG 1899 Hoffenheim,120130000.0
2017/18,Borussia Mönchengladbach,152450000.0
2017/18,VfL Wolfsburg,134850000.0
2017/18,VfB Stuttgart,58650000.0
2017/18,Hertha BSC,90450000.0
2017/18,Eintracht Frankfurt,73600000.0
2017/18,SV Werder Bremen,68500000.0
2017/18,SC Freiburg,65230000.00000001
2017/18,FC Augsburg,62130000.0
2017/18,1.FSV Mainz 05,72650000.0
2017/18,Hannover 96,40600000.0
2017/18,1.FC Köln,106150000.0
2017/18,Hamburger SV,71750000.0
2018/19,Bayern Munich,844650000.0
2018/19,Borussia Dortmund,378250000.0
2018/19,RB Leipzig,298650000.0
2018/19,Bayer 04 Leverkusen,364700000.0
2018/19,TSG 1899 Hoffenheim,200800000.0
2018/19,Eintracht Frankfurt,126750000.0
2018/19,Borussia Mönchengladbach,197530000.0
2018/19,VfL Wolfsburg,140300000.0
2018/19,FC Schalke 04,245700000.0
2018/19,Hertha BSC,119250000.0
2018/19,SV Werder Bremen,111400000.0
2018/19,1.FSV Mainz 05,84480000.0
2018/19,VfB Stuttgart,154350000.0
2018/19,FC Augsburg,96350000.0
2018/19,SC Freiburg,83130000.0
2018/19,Fortuna Düsseldorf,35500000.0
2018/19,Hannover 96,80700000.0
2018/19,1.FC Nuremberg,28900000.0
2019/20,Bayern Munich,790400000.0
2019/20,Borussia Dortmund,642100000.0
2019/20,RB Leipzig,521900000.0
2019/20,Bayer 04 Leverkusen,420600000.0
2019/20,Borussia Mönchengladbach,266500000.0
2019/20,TSG 1899 Hoffenheim,229500000.0
2019/20,FC Schalke 04,213480000.0
2019/20,Hertha BSC,215200000.0
2019/20,Eintracht Frankfurt,207550000.0
