price_variant,kind,signal,threshold,dev_n,dev_roi,dev_profit,dev_hit_rate,dev_avg_odds,dev_profitable_seasons,test_n,test_roi,test_profit,test_hit_rate,test_avg_odds,test_profitable_seasons,dev_selection_score
closing,any,edge,0.0,538,0.0520817843866171,28.02,0.3104089219330855,5.0825278810408925,3,328,0.050884146341463404,16.689999999999998,0.3048780487804878,4.5511585365853655,1,0.0776530612244898
closing,any,edge,0.025,495,0.033616161616161606,16.639999999999993,0.29292929292929293,5.281515151515151,3,288,0.00048611111111111923,0.14000000000000234,0.28125,4.702881944444446,1,0.060532110091743106
closing,any,edge,0.05,440,-0.03313636363636363,-14.579999999999998,0.26590909090909093,5.5278409090909095,2,248,-0.03193548387096776,-7.9200000000000035,0.2661290322580645,4.88508064516129,1,-0.009755102040816324
closing,any,edge,0.075,385,-0.11607792207792209,-44.690000000000005,0.23116883116883116,5.85735064935065,1,223,-0.11242152466367712,-25.069999999999997,0.25112107623318386,5.017982062780269,0,-0.09273563218390807
closing,any,edge,0.1,347,-0.11417867435158503,-39.620000000000005,0.22478386167146974,6.110144092219021,1,181,-0.05243093922651929,-9.489999999999991,0.2430939226519337,5.351602209944751,2,-0.08979848866498742
closing,any,edge,0.15,288,-0.11350694444444444,-32.69,0.21180555555555555,6.594201388888889,1,137,0.044306569343065726,6.070000000000005,0.26277372262773724,5.933138686131387,3,-0.08671597633136094
closing,any,edge,0.2,221,-0.16153846153846155,-35.7,0.17194570135746606,7.3854298642533935,1,97,0.2248453608247423,21.810000000000002,0.28865979381443296,6.591958762886597,3,-0.12173431734317346
closing,any,edge,0.3,150,-0.1534666666666667,-23.020000000000003,0.15333333333333332,8.8234,3,57,0.2907017543859649,16.57,0.2807017543859649,7.495614035087719,3,-0.08510000000000002
closing,any,gap,0.01,531,0.024500941619585655,13.009999999999984,0.3069679849340866,4.787193973634651,3,348,0.031235632183908027,10.869999999999994,0.3333333333333333,4.025488505747126,2,0.05239242685025815
closing,any,gap,0.02,458,-0.08272925764192142,-37.89000000000001,0.27729257641921395,4.900611353711789,3,285,0.005614035087719291,1.5999999999999979,0.32280701754385965,4.01178947368421,2,-0.04458661417322836
closing,any,gap,0.03,395,-0.06878481012658227,-27.169999999999998,0.27341772151898736,4.970506329113924,3,236,0.07639830508474575,18.029999999999998,0.3305084745762712,3.9424576271186442,3,-0.031056179775280898
closing,any,gap,0.04,319,-0.023072100313479643,-7.3600000000000065,0.28213166144200624,4.8584639498432605,2,191,0.05361256544502617,10.239999999999998,0.32460732984293195,3.758376963350785,2,5.420054200540314e-05
closing,any,gap,0.05,258,-0.04468992248062016,-11.530000000000001,0.26744186046511625,4.994689922480621,2,152,0.10368421052631578,15.759999999999998,0.34210526315789475,3.5269078947368424,2,-0.01743506493506494
closing,any,gap,0.075,144,-0.0129166666666667,-1.8600000000000048,0.2777777777777778,4.8313194444444445,2,78,0.0807692307692308,6.3000000000000025,0.34615384615384615,3.205,2,0.010412371134020595
closing,any,gap,0.1,71,0.09323943661971834,6.620000000000002,0.2676056338028169,4.5056338028169005,4,44,0.3615909090909091,15.91,0.45454545454545453,3.0309090909090908,3,0.09471074380165291
closing,H,edge,0.0,240,0.011375000000000003,2.730000000000001,0.35,3.977625,4,170,-0.2347058823529412,-39.900000000000006,0.31176470588235294,3.2465294117647057,0,0.04941379310344828
closing,H,edge,0.025,213,0.02586854460093896,5.509999999999998,0.3380281690140845,4.217558685446009,4,145,-0.3378620689655173,-48.99000000000001,0.25517241379310346,3.426206896551724,0,0.060950570342205315
closing,H,edge,0.05,187,-0.021871657754010693,-4.09,0.3155080213903743,4.41909090909091,3,125,-0.3068,-38.35,0.256,3.5766400000000003,0,0.012742616033755275
closing,H,edge,0.075,158,-0.052278481012658216,-8.259999999999998,0.2911392405063291,4.725759493670886,2,111,-0.37927927927927935,-42.10000000000001,0.22522522522522523,3.6899099099099093,0,-0.01971153846153845
